id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,etat_parc,latitude,longitude
3800250,LE CROCQ,80205,CONDE-FOLIE,80,32,En exploitation,50.0104374,2.0210681
3800252,LES BAQUETS,80099,BETTENCOURT RIVIERE,80,32,En exploitation,49.996356,1.9771414
3800252,LES BAQUETS,80205,CONDE-FOLIE,80,32,En exploitation,50.0104374,2.0210681
3800257,Ferme éolienne le Maissel,80438,HEUDICOURT,80,32,En exploitation,50.02283,3.07807
3800257,Ferme éolienne le Maissel,80475,LIERAMONT,80,32,En exploitation,49.99321,3.04877
3800257,Ferme éolienne le Maissel,80737,SOREL,80,32,En exploitation,50.0226557,3.0504977
3800266,CE DE FLAVIEUX,80053,BALATRE,80,32,En exploitation,49.7093467,2.8655624
3800266,CE DE FLAVIEUX,80103,BIARRE,80,32,En exploitation,49.7210873,2.8793516
3800266,CE DE FLAVIEUX,80105,BILLANCOURT,80,32,En exploitation,49.7365121,2.8946953
3800266,CE DE FLAVIEUX,80224,CRESSY OMENCOURT,80,32,En exploitation,49.718752,2.912548103539613
3800266,CE DE FLAVIEUX,60621,SOLENTE,60,32,En exploitation,49.6996734,2.8816925
3800296,Parc éolien de la Fernoye,2192,CHOUY,2,32,En exploitation,49.2066667,3.2488889
3800326,PARC EOLIEN DU CHEMIN DE MORY SAS,62285,ECOUST-SAINT-MEIN,62,32,En exploitation,50.1822571,2.9107489
3800326,PARC EOLIEN DU CHEMIN DE MORY SAS,62594,MORY,62,32,En exploitation,50.157595,2.8556301
3800428,SAS ELICIO HAUT PLATEAU,80054,BARLEUX,80,32,En exploitation,49.8964544,2.8922662
3800428,SAS ELICIO HAUT PLATEAU,80080,BELLOY-EN-SANTERRE,80,32,En exploitation,49.88264,2.85402
3800428,SAS ELICIO HAUT PLATEAU,80801,VILLERS-CARBONNEL,80,32,En exploitation,49.8758876,2.8962626
3800447,Parc éolien des Nouvions,2559,NOUVION-ET-CATILLON,2,32,En exploitation,49.7026,3.48537
3800447,Parc éolien des Nouvions,2560,NOUVION-LE-COMTE,2,32,En exploitation,49.6988889,3.4630556
3800453,SAS Énergie des Ronchères,2385,HOUSSET,2,32,En exploitation,49.795,3.7086111
